id|code|answers|content|note
461|CIP21.2||Компенсация за пролонгацию отражает изменение рыночных котировок на фондовых (по иным инструментам отличным от тестируемого), валютных и сырьевых рынках?|Например:<br><br>1) По кредитному договору установлена фиксированная комиссия за пролонгацию 1%. Кредитным договором предусмотрено, что если в момент пролонгации рыночная котировка на нефть превышает 60 долларов США за баррель, то комиссия за пролонгацию составит 4%;<br><br>2) По кредитному договору установлена фиксированная комиссия за пролонгацию 0,5% от величины остатка основного долга. Условием договора предусмотрено, что если за предшествующие 90 дней стоимость 1 обыкновенной акции ПАО "Пример" превысит значение Х рублей, то комиссия за пролонгацию составит 4%;<br><br>3) По кредитному договору установлена фиксированная комиссия за пролонгацию 0,5% от величины остатка основного долга. Условием договора предусмотрено, что если за предыдущий процентный период средний курс EUR превысит значение 84 рубля, то комиссия за пролонгацию составит 4%.
462|CIP21.3||Выявлены иные факторы, влияющие на определение компенсации?|
463|CIP21.3.1||Иной фактор, влияющий на определение компенсации согласован с представителями УМО и признан проходящим SPPI-тест?|
464|CIP22||Договор предусматривает зависимость потоков по договору (платежи по основному долгу и/или процентам) от изменения переменной/наступления условного события?|Например:<br><br>Условиями кредитного договора предусмотрено, что в случае непредоставления или несвоевременного предоставления Заемщиком документов подтверждающих страхование залогового обеспечения, Банк вправе взыскать штраф в сумме 0,5% от величины ссудной задолженности на момент нарушения условия.
465|CIP23||Переменная/условное событие носит финансовый характер* (например, зависимость потоков от индекса цен, котировок)?|
466|CIP24||Нефинансовая переменная/ условное событие является специфичной только для одной из сторон по договору?|Примером неподконтрольной переменной составляющей / условным событием является изменение индекса инфляции, так как данная переменная влияет не только на сторону по договору и не может в одностороннем порядке контролироваться стороной по договору.
467|CIP25||Переменная / условное событие приводит только к изменению графика, не меняя суммы основного долга, при этом проценты начисляются на фактический остаток долга?|Например:<br><br>Банк заключает с контрагентом кредитный договор сроком на 1 год, в соответствии с которым Банк предоставляет контрагенту 1 000 долларов. График погашения по договору на дату выдачи выстроен с учетом прогнозных значений цены на нефть, и договором предусмотрена корректировка графика в сторону увеличения платежей в погашение основного долга в случае отличия фактических показателей стоимости цен на нефть от прогнозных в большую сторону. Таким образом, Заемщик быстрее выгашивает задолженность, при этом сумма общей задолженности не увеличивается.
468|CIP26||Изменение переменной/наступление условного события приводит к изменению суммы основного долга?|Например:<br><br>Банк предоставляет Заемщику субординированный кредит. Условиями договора предусмотрено, что в случае начала процедур банкротства Заемщика , обязательства Заемщика по погашению кредита прекращаются, и сумма основного долга и начисленных процентов на момент наступления такого события подлежат списанию.
469|CIP27.1|{'yes':'Да','no':'Нет, условие отсутствует'}|Денежные потоки по договору меняются в зависимости от изменения стоимости фондирования?|Ответ "Да" если договором предусмотрено условие, изменяющее CF по договору в зависимости от изменения стоимости фондирования.<br><br>Например, Банк выдал Заемщику кредит в рамках программы стимулирования ипотечного кредитования. Процентная ставка по кредитному договору составляет 10%. В рамках программы Банк вправе получить определенный объем средств у Банка России по сниженной (льготной) процентной ставке и направлять его на цели ипотечного кредитования. Условиями договора предусмотрено, что в случае приостановки или прекращения действия программы по любой причине в течение действия кредитного договора (в том числе, если Заемщик перестал удовлетворять критериям участника программы), то Банк начинает дополнительно взимать с Заемщика на периодической основе плату за обслуживание кредита в размере 4% годовых от остатка задолженности.
470|CIP27.2|{'yes':'Да','no':'Нет, условие отсутствует'}|Денежные потоки по договору меняются в зависимости от изменения кредитных рисков, при этом рост риска ведет к повышению ставки по кредиту?|Ответ "Да" если договором предусмотрено условие, изменяющее процентную ставку на определенное количество процентных пунктов в зависимости от изменения стоимости фондирования.
471|CIP27.3||Денежные потоки по договору меняются в зависимости от наличия и объема кросс-продаж?|Например: "Банк вправе увеличить размер платы за обслуживание кредита на 2 (Два) процента годовых, в случае не выполнения условия поддержания среднедневных остатков по счетам Заемщика в Банке"
472|CIP27.3.1||Договор предусматривает право заемщика на досрочное погашение кредита (в т.ч. в случае увеличения процентной ставки)?|Ответ "Да" если договором предусмотрено условие, позволяющее Заемщику досрочно погасить задолженность по своему решению, в том числе в случаях пересмотра величины процентной ставки при невыполнении условий кросс-продаж.
473|CIP27.3.2||Элемент кросс-продаж отвечает характеристикам, приведенным в мотивированном суждении Банка об изменении денежных потоков в зависимости от кросс-продаж?|
474|CIP27.3.3||Влияние элемента кросс-продаж на денежные потоки согласовано с представителями УМО и элемент признан проходящим SPPI-тест?|
475|CIP27.4||Денежные потоки по договору меняются в зависимости от изменения кредитных рисков, при этом рост риска ведет к понижению ставки по кредиту?|Ответ  "Да", если договором предусмотрено условие, снижающее CF по кредитному договору при росте кредитных рисков.<br><br>Например:<br>1) "Плата за обслуживание кредита снижается на 2 (Два) процента годовых, в случае непредоставления или несвоевременного предоставления Заемщиком своей финансовой отчетности";<br><br>2) "В случае отсутствия страхования залогового обеспечения в аккредитованных страховых компаниях, процентная ставка по договору снижается на 2%"
476|CIP27.5||Выявлены прочие компоненты и параметры, влияющие на величину денежного потока?|
477|CIP27.5.1||Влияние прочих компонентов и параметров на денежный поток согласовано с представителями УМО и элемент признан проходящим SPPI-тест?|
478|CIP28||Долговой инструмент содержит характеристики ПФИ или ссылки на другие договоры ПФИ?|Анализируемая сделка обладает следующими характеристиками:<br><br>а) его стоимость меняется в результате изменения определенной процентной ставки, цены финансового инструмента, цены товара, валютного курса, индекса цен или ставок, кредитного рейтинга или кредитного индекса или иной переменной (иногда называемой «базовой»), при условии, что указанная переменная – если это нефинансовая переменная – не является специфичной для какой-либо из сторон по договору;<br><br>(б) для его приобретения не требуется первоначальная чистая инвестиция или требуется сравнительно небольшая первоначальная чистая инвестиция по сравнению с другими видами договоров, которые, согласно ожиданиям, реагировали бы аналогичным образом на изменения рыночных факторов;<br><br>(в) расчеты по нему будут осуществлены на некоторую дату в будущем.
479|CIP29||ПФИ заключен с другим контрагентом (третьей стороной, не являющейся стороной по договору)?|
480|CIP30||Договор ПФИ может быть передан независимо от финансового инструмента?|Необходимо оценить, насколько договор ПФИ можно продать отдельно от кредитного договора. При этом под продажей понимается возможность заключения полностью зеркального договора с рыночными контрагентами, который предполагает передачу риска по договору ПФИ.
481|CIP31||ГИ предусматривает возможность получения права погашения передачей долевых инструментов (Заемщика или третьей стороны)?|При наличии по условиям договора права или обязательства Заемщика передать Кредитору долевые инструменты (собственные или третьей стороны) или право Кредитора приобрести у Заемщика соответствующие долевые инструменты – например, в счет погашения обязательств по долговому инструменту.
482|CIP32||Передача долевых инструментов осуществляется в счет погашения основной суммы долга и начисленных процентов (конвертация долга в долевые инструменты или ПФИ на долевой инструмент)?|В рамках структурирования сделок иногда предусматривается возможность при наступлении определенных условий получения Кредитором (Банком) долевых ценных бумаг (акций, паев, долей и т.п.) заемщика или третьей стороны. Кредитной документацией может быть предусмотрены как различные условия погашения долевыми инструментами основной суммы долга / начисленных процентов, так и оплата иных платежей по договору - например, комиссий. Важным аспектом условий договора является возможность получения долевых инструментов БЕЗ реализации процедур ОБРАЩЕНИЯ ВЗЫСКАНИЯ. При наличии стандартных условий договоров залога, предусматривающих возможность Банка обратить взыскание на предмет залога в виде долевых ценных бумаг в анкете следует ответить "Нет".<br><br>Если целью получения долевых инструментов Банком является погашение долга.
483|CIP33||Передача долевых инструментов Банку в собственность осуществляется в дату первоначального признания долгового инструмента в качестве единовременной комиссии за выдачу кредита («upfront fee»)?|В отдельных случаях долевыми инструментами происходит расчет за комиссию за организацию финансирования или аналогичную комиссию, т.е. комиссию, получаемую в дату или до даты предоставления средств по кредитному договору. Если указанная ситуация соответствует анализируемой кредитной документации, ответ на вопрос анкеты "да". Если комиссия за организацию финансирования или аналогичная комиссия уплачивается в течение срока жизни договора, например - 50% до даты предоставления средств, 50% - через шесть месяцев, то в таких случаях ответ на вопрос опросника  "нет".
484|CIP34||Конвертация обязательств в долевые инструменты осуществляется по фиксированной цене (а не по цене на дату погашения) и/или в фиксированном количестве?|Если в документации определены ценовые параметры "погашения", например, "погашение основной суммы долга / процентов осуществляется исходя из ХХХ рублей за акцию", то ответ на вопрос анкеты "Да".
485|CIP35||По условиям договора параметры передаваемых в счет погашения долевых инструментов варьируются таким образом, что на дату погашения их стоимость будет по существу представлять погашаемую основную сумму долга плюс начисленные на эту сумму проценты?|Ответ "Да", если цена / количество долевых инструментов, получаемых в счет погашения задолженности Заемщика варьируется таким образом, что на дату погашения их стоимость будет представлять основную сумму долга и начисленные проценты.
486|CIP36||Передаваемые долевые инструменты относятся к Уровню 2 или 3 иерархии справедливой стоимости, применяемой Банком для определения и раскрытия справедливой стоимости финансовых инструментов?|1й уровень иерархии - биржевые котировки инструмента, например, акции "ПАО Сбербанк";<br>2й уровень иерархии - оценка финансового инструмента осуществляется на основании рыночных / биржевых данных на аналогичные инструменты, например, оценка акций "ПАО Сбербанк" на основании информации о биржевых котировках ВТБ;<br>3й уровень - оценка производится на внутренних моделях Банка.<br>Чаще всего при кредитовании корпоративных клиентов встречаются ценные бумаги, оценка которых произведена независимым оценщиком.
487|CIP37||По результатам анализа УМО передаваемые долевые инструменты определены как высоколиквидные и с учетом прочих условий договора могут рассматриваться в качестве средства платежа?|
488|CIP38|{'yes':'Да, ГИ содержит компонент, изменяющий только процентную ставку/порядок расчета процентных платежей','no_not_only':'Нет, ГИ содержит компонент, изменяющий не только процентную ставку/порядок расчета процентных платежей','no_not_component':'Нет, ГИ не содержит компонент, изменяющий процентную ставку/порядок расчета процентных платежей','no':'Нет, компоненты, влияющие на CF отсутствуют'}|ГИ содержит компонент, изменяющий только процентную ставку/порядок расчета процентных платежей?|Например:<br>1) По кредитному договору, номинированному в долларах США, установлена плавающая процентная ставка Libor12M+Маржа. В договор встроен ПФИ, в соответствии с которым плавающая ставка заменяется на фиксированную.<br><br>2) Между Банком и Заемщиком заключен кредитный договор в долларах США. Договором предусмотрено, что при достижении ценой на нефть показателя 50 руб./баррель обязательства Заемщика пересчитываются в рубли.
489|CIP38.1.1||Данный компонент представлен в виде «кэп» / «флор», которые снижают волатильность процентных платежей по ГИ?|Например:<br>По кредиту, номинированному в долларах США со сроком действия 3 года, установлена ставка Libor 3M+3%. По условиям договора в отношении плавающей ставки предусмотрено максимальное значение («кэп»), равное 5,5%. Таким образом, даже если значение базовой ставки Libor3M превысит 2,5%, максимальная процентная ставка по кредиту для целей расчета процентных платежей за процентный период составит не более 5,5%.
490|CIP38.1.2||Данный компонент представлен в виде «кэп» / «флор», которые снижают волатильность процентных платежей по ГИ?|Например:<br>По кредиту, номинированному в долларах США со сроком действия 3 года, установлена ставка Libor 3M+3%. По условиям договора в отношении плавающей ставки предусмотрено максимальное значение («кэп»), равное 5,5%. Таким образом, даже если значение базовой ставки Libor3M превысит 2,5%, максимальная процентная ставка по кредиту для целей расчета процентных платежей за процентный период составит не более 5,5%.
491|CIP39.1||Какая процентная ставка применяется к инструменту <b><ins>с учетом компонента ГИ, изменяющего процентную ставку</ins></b>?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего процентную ставку/порядок расчета процентных платежей.</i><br><br>"Плавающая" ставка задается формулой. Например:  "LIBOR 3M USD + 4%".<br><br>При этом, не является "плавающей" ставка, которая задается конкретным числовым значением, но может меняться в зависимости от (не)наступления условных событий. То есть, в случае если ставка является "переменной", то ответ "фиксированная".
492|CIP40.1.1||Отражает ли базовая ставка / индекс инфляции (в случае индексации ставки на уровень инфляции) временную стоимость денег в валюте договора?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего процентную ставку/порядок расчета процентных платежей</i><br><br>Если валюта договора отличается от валюты базового индикатора, определенных на период пролонгации, то указывается ответ "Нет". Например, по сделке в USD на период пролонгации предусмотрено начисление процентов по плавающей ставке с базовым индикатором Mosprime - в таком случае ответ "Нет".
493|CIP40.2.1||Содержит ли договор инверсированную плавающую процентную ставку?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего процентную ставку/порядок расчета процентных платежей.</i><br><br>Инверсированная ставка - это плавающая ставка, изменяющаяся в направлении обратном к изменениям значений базового индикатора. То есть, чем больше значение базового индикатора, тем меньше значение процентной ставки по сделке.<br><br>Пример:<br><br>В соответствии с условиями кредита, номинированного в долларах США, процентная ставка устанавливаемая условиями ПФИ, изменяющего порядок расчета процентных платежей, рассчитывается как: «10% - Libor 3M», то есть ставка на процентный период равна разнице между фиксированной маржой и значением Libor 3M. Таким образом, чем больше значение базового индикатора, тем меньше процентная ставка по сделке.
494|CIP40.3.1||Присутствует ли эффект рычага в отношении ставки?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего процентную ставку/порядок расчета процентных платежей.</i><br><br>Если при расчете величины процентной ставки по сделке с плавающей процентной ставкой перед базовым индикатором присутствует коэффициент, величина которого по модулю > 1, то ответ "Да".<br><br>Например:<br>Если базовая ставка задается как "LIBOR 3M USD", то коэффициент = 1 - ответ "Нет";<br>Если базовая ставка задается как "4 * LIBOR 3M USD", то коэффициент = 4 - ответ "Да";<br>Если базовая ставка задается как "-3 * LIBOR 3M USD", то коэффициент = -3 - ответ "Да".
495|CIP40.4.1||Дата начала процентного периода соответствует дате котировки?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего процентную ставку/порядок расчета процентных платежей.</i><br><br>Например: По кредиту со сроком действия 5 лет, установлена плавающая ставка MosPrime3M+4%. Расчет процентов к начислению производится ежеквартально на начало процентного периода на основании значения базовой ставки MosPrime3M, установленной на начало предыдущего процентного периода.<br><br>Таким образом, для расчета процентных платежей на 01.04.2017 используется котировка MosPrime3M на дату 01.01.2017 - ответ "Нет".
496|CIP40.5.1||Срок базовой ставки соответствует частоте ее пересмотра?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего процентную ставку/порядок расчета процентных платежей.</i><br><br>Например:<br><br>Если по сделке, применяется плавающая процентная ставка, которая определяется как MosPrime3M + 2%, и значение котировки базового индикатора MosPrime3M определяется (актуализируется) ежеквартально (то есть каждые 3 месяца), то ответ - "Да".<br><br>Если по сделке применяется плавающая процентная ставка, которая определяется как MosPrime3M + 2%, и значение котировки базового индикатора MosPrime3M  определяется (актуализируется) раз в полгода (то есть каждые 6 месяцев), то ответ - "Нет".<br><br>Если по сделке применяется плавающая процентная ставка, которая рассчитывается как среднеарифметическое ставок MosPrime3M и MosPrime12M, то срочность базового индикатора определить невозможно и ответ также - "Нет".
497|CIP40.6.1||Наличие прочих условий, которые модифицируют элемент временной стоимости денег?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего процентную ставку/порядок расчета процентных платежей.</i><br><br>Например:<br>1) условие, предусматривающее периодический пересмотр процентной ставки по активу до среднего значения определённых краткосрочных и долгосрочных ставок;<br><br>2) условие, предусматривающее пересмотр процентной ставки на полугодовой основе до уровня, отражающего текущее значение кривой доходности по инструментам с пятилетним сроком погашения.
498|CIP40.7.1.1||Разница между датой начала процентного периода и котировкой базового индикатора не превышает 30 дней или используется наиболее актуальная из возможных котировок?|
499|CIP40.7.2.1||Отклонение в потоках по всем сценариям за любой отчетный период и кумулятивно на весь срок действия инструмента равно или превышает 10%?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего процентную ставку/порядок расчета процентных платежей.</i><br><br>Если Benchmark-тест не пройден, то ставится "Да"
500|CIP41.1.1|{'yes':'<b>Да</b>, возможно изменение ставки, при этом договор <b><ins>НЕ устанавливает</ins></b> шаг  изменения и/или степень изменения ставки ','no_with_condition':'<b>Нет</b>, предусмотрены условия, изменяющие  процентную ставку <b><ins>И С установлением</ins></b> шага/степени изменения ставки,<ins><b> И БЕЗ установления </ins></b> шага/степени изменения ставки','no_with_step':'<b>Нет</b>, возможно изменение ставки, но договор устанавливает шаг изменения и/или степень ','no_not_condition':'<b>Нет</b>, в договоре нет условий, изменяющих ставку'}|Предусмотрено ли договором безусловное или условное право Кредитора изменять процентную ставку, при этом договор <ins><b>НЕ устанавливает</ins></b> «шаг» изменения и/или степень зависимости ставки от наступления условного события?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего процентную ставку/порядок расчета процентных платежей.</i><br><br>1) Ответ на вопрос "Нет, возможно изменение ставки, но договор устанавливает «шаг» изменения и/или степень", в случаях если договором предусмотрены условия, изменяющие процентную ставку и при этом установлен шаг/степень изменения ставки. Например, таким условием будет являться: "В случае отсутствия страхования залога в аккредитованных страховых компаниях, процентная ставка по договору увеличивается на 2%";<br><br>2) Ответ на вопрос "Да, возможно изменение ставки, при этом договор НЕ устанавливает «шаг» изменения и/или степень изменения ставки", в случаях если договором предусмотрены условия, изменяющие процентную ставку, но при этом шаг/степень изменения ставки не установлен. Например, таким условием будет являться: "Банк оставляет за собой право в одностороннем порядке производить изменение ставки по договору в том числе, но не исключительно, при условии принятия Банком России решения об изменении ключевой ставки";<br><br>3) Ответ на вопрос "Нет, предусмотрены условия изменяющие процентную ставку И С установлением «шага»/степени изменения ставки, И БЕЗ установления «шага»/степени изменения ставки", в случаях если договором предусмотрены оба вида условий, описанных в пунктах 1 и 2;<br><br>4) Ответ на вопрос "Нет, в договоре нет условий, изменяющих ставку", в случаях если договором не предусмотрены условия, изменяющие величину процентной ставки.
501|CIP41.2.1.1||Соблюдаются ли следующие условия?<br><br>- Договором предусмотрено право досрочного погашения в случае пересмотра ставки со стороны Кредитора?<br>- В договоре отсутствует условие, которое прямо или косвенно ограничивает Заемщика в возможности рефинансировать задолженность в другом банке?<br>- Рынок банковских услуг, в рамках которого оперирует Заемщик, является конкурентным (т.о., обеспечивая Заемщику возможность рефинансирования и сдерживая необоснованный рост ставок)?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего процентную ставку/порядок расчета процентных платежей.</i><br><br>Ответ "Да" если договором предусмотрено условие, позволяющее Заемщику досрочно погасить задолженность по своему решению, в том числе в случаях пересмотра величины процентной ставки со стороны Банка.
502|CIP41.2.2.1||Соблюдаются ли следующие условия?<br><br>- Договором предусмотрено право досрочного погашения в случае пересмотра ставки со стороны Кредитора?<br>- В договоре отсутствует условие, которое прямо или косвенно ограничивает Заемщика в возможности рефинансировать задолженность в другом банке?<br>- Рынок банковских услуг, в рамках которого оперирует Заемщик, является конкурентным (т.о., обеспечивая Заемщику возможность рефинансирования и сдерживая необоснованный рост ставок)?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего процентную ставку/порядок расчета процентных платежей.</i><br><br>Ответ "Да" если договором предусмотрено условие, позволяющее Заемщику досрочно погасить задолженность по своему решению, в том числе в случаях пересмотра величины процентной ставки со стороны Банка.
503|CIP42.1.1|{'yes':'Да','no':'Нет, условие отсутствует'}|Процентная ставка меняется в зависимости от изменения стоимости фондирования?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего процентную ставку/порядок расчета процентных платежей.</i><br><br>Например, Банк выдал Заемщику кредит в рамках программы стимулирования ипотечного кредитования. Процентная ставка по кредитному договору составляет 10%. В рамках программы Банк вправе получить определенный объем средств у Банка России по сниженной (льготной) процентной ставке и направлять его на цели ипотечного кредитования. Условиями договора предусмотрено, что в случае приостановки или прекращения действия программы по любой причине в течение действия кредитного договора (в том числе, если Заемщик перестал удовлетворять критериям участника программы), то Банк начинает дополнительно взимать с Заемщика на периодической основе плату за обслуживание кредита в размере 4% годовых от остатка задолженности.
504|CIP42.2.1|{'yes':'Да','no':'Нет, условие отсутствует'}|Процентная ставка меняется в зависимости от изменения кредитных рисков, при этом рост риска ведет к повышению ставки по кредиту?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего процентную ставку/порядок расчета процентных платежей.</i><br><br>Например:<br><br>"В случае отсутствия страхования залогового обеспечения в аккредитованных страховых компаниях, процентная ставка по договору увеличивается на 2%".
505|CIP42.3.1||Процентная ставка меняется в зависимости от наличия и объема кросс-продаж?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего процентную ставку/порядок расчета процентных платежей.</i><br><br>Например: "Банк вправе увеличить размер процентной ставки на 2 (Два) процента годовых, в случае невыполнения условия поддержания среднедневных остатков по счетам Заемщика в Банке"
506|CIP42.3.1.1||Договор предусматривает право заемщика на досрочное погашение кредита (в т.ч. в случае увеличения процентной ставки)?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего процентную ставку/порядок расчета процентных платежей.</i><br><br>Ответ "Да" если договором предусмотрено условие, позволяющее Заемщику досрочно погасить задолженность по своему решению, в том числе в случаях пересмотра величины процентной ставки при невыполнении условий кросс-продаж.
507|CIP42.3.2.1||Элемент кросс-продаж отвечает характеристикам, приведенным в мотивированном суждении Банка об изменении процентной ставки в зависимости от кросс-продаж?|
508|CIP42.3.3.1||Влияние элемента кросс-продаж на процентную ставку согласовано с представителями УМО и элемент признан проходящим SPPI-тест?|
509|CIP42.4.1||Процентная ставка меняется в зависимости от изменения кредитных рисков, при этом рост риска ведет к понижению ставки по кредиту?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего процентную ставку/порядок расчета процентных платежей.</i><br><br>Ответ "Да", если договором предусмотрено условие, снижающее процентную ставку на определенное количество процентных пунктов при росте кредитных рисков.<br><br>Например:<br><br>"В случае отсутствия страхования залогового обеспечения в аккредитованных страховых компаниях, процентная ставка по договору снижается на 2%"
510|CIP42.5.1||Процентная ставка меняется в зависимости от изменения рыночных котировок (котировки на фондовых, валютных, сырьевых рынках, цены на товары/услуги)?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего процентную ставку/порядок расчета процентных платежей.</i><br><br>Например:<br><br>"По кредитному договору установлена фиксированная процентная ставка 8%. Условием договора предусмотрено, что если за предыдущий процентный период средний курс EUR превысит значение 84 рубля, то процентная ставка составит 12%"
511|CIP42.6.1||Выявлены прочие компоненты и параметры процентной ставки?|
512|CIP42.6.1.1||Влияние элемента на процентную ставку согласовано с представителями УМО и элемент признан проходящим SPPI-тест?|
513|CIP39.2||Какая процентная ставка применяется к инструменту <b><ins>с учетом компонента ГИ, изменяющего процентную ставку</ins></b>?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего процентную ставку/порядок расчета процентных платежей.</i><br><br>"Плавающая" ставка задается формулой. Например:  "LIBOR 3M USD + 4%".<br><br>При этом, не является "плавающей" ставка, которая задается конкретным числовым значением, но может меняться в зависимости от (не)наступления условных событий. То есть, в случае если ставка является "переменной", то ответ "фиксированная"
514|CIP40.1.2||Отражает ли базовая ставка / индекс инфляции (в случае индексации ставки на уровень инфляции) временную стоимость денег в валюте договора?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего процентную ставку/порядок расчета процентных платежей</i><br><br>Если валюта договора отличается от валюты базового индикатора, определенных на период пролонгации, то указывается ответ "Нет". Например, по сделке в USD на период пролонгации предусмотрено начисление процентов по плавающей ставке с базовым индикатором Mosprime - в таком случае ответ "Нет".
515|CIP40.2.2||Содержит ли договор инверсированную плавающую процентную ставку?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего процентную ставку/порядок расчета процентных платежей.</i><br><br>Инверсированная ставка - это плавающая ставка, изменяющаяся в направлении обратном к изменениям значений базового индикатора. То есть, чем больше значение базового индикатора, тем меньше значение процентной ставки по сделке.<br><br>Пример:<br><br>В соответствии с условиями кредита, номинированного в долларах США, процентная ставка устанавливаемая условиями ПФИ, изменяющего порядок расчета процентных платежей, рассчитывается как: «10% - Libor 3M», то есть ставка на процентный период равна разнице между фиксированной маржой и значением Libor 3M. Таким образом, чем больше значение базового индикатора, тем меньше процентная ставка по сделке.
516|CIP40.3.2||Присутствует ли эффект рычага в отношении ставки?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего процентную ставку/порядок расчета процентных платежей.</i><br><br>Если при расчете величины процентной ставки по сделке с плавающей процентной ставкой перед базовым индикатором присутствует коэффициент, величина которого по модулю > 1, то ответ "Да".<br><br>Например:<br>Если базовая ставка задается как "LIBOR 3M USD", то коэффициент = 1 - ответ "Нет";<br>Если базовая ставка задается как "4 * LIBOR 3M USD", то коэффициент = 4 - ответ "Да";<br>Если базовая ставка задается как "-3 * LIBOR 3M USD", то коэффициент = -3 - ответ "Да".
517|CIP40.4.2||Дата начала процентного периода соответствует дате котировки?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего процентную ставку/порядок расчета процентных платежей.</i><br><br>Например: По кредиту со сроком действия 5 лет, установлена плавающая ставка MosPrime3M+4%. Расчет процентов к начислению производится ежеквартально на начало процентного периода на основании значения базовой ставки MosPrime3M, установленной на начало предыдущего процентного периода.<br><br>Таким образом, для расчета процентных платежей на 01.04.2017 используется котировка MosPrime3M на дату 01.01.2017 - ответ "Нет".
518|CIP40.5.2||Срок базовой ставки соответствует частоте ее пересмотра?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего процентную ставку/порядок расчета процентных платежей.</i><br><br>Например:<br><br>Если по сделке, применяется плавающая процентная ставка, которая определяется как MosPrime3M + 2%, и значение котировки базового индикатора MosPrime3M определяется (актуализируется) ежеквартально (то есть каждые 3 месяца), то ответ - "Да".<br><br>Если по сделке применяется плавающая процентная ставка, которая определяется как MosPrime3M + 2%, и значение котировки базового индикатора MosPrime3M  определяется (актуализируется) раз в полгода (то есть каждые 6 месяцев), то ответ - "Нет".<br><br>Если по сделке применяется плавающая процентная ставка, которая рассчитывается как среднеарифметическое ставок MosPrime3M и MosPrime12M, то срочность базового индикатора определить невозможно и ответ также - "Нет".
519|CIP40.6.2||Наличие прочих условий, которые модифицируют элемент временной стоимости денег?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего процентную ставку/порядок расчета процентных платежей.</i><br><br>Например:<br>1) условие, предусматривающее периодический пересмотр процентной ставки по активу до среднего значения определённых краткосрочных и долгосрочных ставок;<br><br>2) условие, предусматривающее пересмотр процентной ставки на полугодовой основе до уровня, отражающего текущее значение кривой доходности по инструментам с пятилетним сроком погашения.
520|CIP40.7.1.2||Разница между датой начала процентного периода и котировкой базового индикатора не превышает 30 дней или используется наиболее актуальная из возможных котировок?|
521|CIP40.7.2.2||Отклонение в потоках по всем сценариям за любой отчетный период и кумулятивно на весь срок действия инструмента равно или превышает 10%?|<i>Данный вопрос применим к процентной ставке, устанавливаемой условиями встроенного ПФИ изменяющего процентную ставку/порядок расчета процентных платежей.</i><br><br>Если Benchmark-тест не пройден, то ставится "Да"
